GUEST_ACTIVITY_DATE,TRIP_TYPE,PROPERTY_CD,OTHER_TIME_PLAYED_IN_MIN
15-09-2019,PROPERTY,TAH,0
15-09-2019,MARKET,,421
16-09-2019,MARKET,,150
16-09-2019,ENTERPRISE,,150
16-09-2019,PROPERTY,HLT,150
17-09-2019,ENTERPRISE,,459
17-09-2019,PROPERTY,HLT,459
17-09-2019,PROPERTY,TAH,0
17-09-2019,MARKET,,459
18-09-2019,MARKET,,179
18-09-2019,ENTERPRISE,,179
18-09-2019,PROPERTY,HLT,179
19-09-2019,PROPERTY,TRW,0
19-09-2019,ENTERPRISE,,0
19-09-2019,MARKET,,0
20-09-2019,MARKET,,0
20-09-2019,PROPERTY,TRW,0
20-09-2019,ENTERPRISE,,0
21-09-2019,PROPERTY,HLT,81
21-09-2019,MARKET,,0
21-09-2019,PROPERTY,TRW,0
21-09-2019,ENTERPRISE,,81
21-09-2019,MARKET,,81
22-09-2019,ENTERPRISE,,316
22-09-2019,MARKET,,316
22-09-2019,PROPERTY,HLT,316
23-09-2019,PROPERTY,HLT,294
23-09-2019,MARKET,,294
23-09-2019,ENTERPRISE,,294
24-09-2019,ENTERPRISE,,397
24-09-2019,PROPERTY,HLT,397
24-09-2019,MARKET,,397
25-09-2019,PROPERTY,TAH,0
25-09-2019,PROPERTY,HLT,216
25-09-2019,MARKET,,216
25-09-2019,ENTERPRISE,,216
28-09-2019,MARKET,,0
28-09-2019,PROPERTY,TRW,0
28-09-2019,ENTERPRISE,,0
29-09-2019,MARKET,,0
29-09-2019,MARKET,,0
29-09-2019,PROPERTY,TRW,0
29-09-2019,ENTERPRISE,,0
29-09-2019,PROPERTY,TAH,0
30-09-2019,PROPERTY,HLT,185
30-09-2019,PROPERTY,TAH,0
30-09-2019,MARKET,,185
30-09-2019,ENTERPRISE,,185
01-10-2019,PROPERTY,TAH,0
01-10-2019,PROPERTY,HLT,267
01-10-2019,ENTERPRISE,,267
01-10-2019,MARKET,,267
02-10-2019,ENTERPRISE,,409
02-10-2019,PROPERTY,TAH,0
02-10-2019,MARKET,,409
02-10-2019,PROPERTY,HLT,409
03-10-2019,PROPERTY,TRW,0
03-10-2019,PROPERTY,TAH,0
03-10-2019,MARKET,,0
03-10-2019,MARKET,,0
03-10-2019,ENTERPRISE,,0
04-10-2019,PROPERTY,TRW,0
04-10-2019,MARKET,,0
04-10-2019,ENTERPRISE,,0
05-10-2019,PROPERTY,TRW,0
05-10-2019,MARKET,,0
05-10-2019,ENTERPRISE,,0
06-10-2019,PROPERTY,TAH,120
06-10-2019,PROPERTY,HLT,240
06-10-2019,MARKET,,360
06-10-2019,ENTERPRISE,,360
07-10-2019,MARKET,,454
07-10-2019,PROPERTY,HLT,454
07-10-2019,ENTERPRISE,,454
10-10-2019,PROPERTY,TRW,0
10-10-2019,PROPERTY,HLT,240
10-10-2019,MARKET,,240
10-10-2019,MARKET,,0
10-10-2019,ENTERPRISE,,240
11-10-2019,MARKET,,0
11-10-2019,PROPERTY,TRW,0
11-10-2019,ENTERPRISE,,0
12-10-2019,PROPERTY,TRW,0
12-10-2019,MARKET,,0
12-10-2019,ENTERPRISE,,0
13-10-2019,ENTERPRISE,,0
13-10-2019,PROPERTY,TRW,0
13-10-2019,MARKET,,0
19-10-2019,ENTERPRISE,,480
19-10-2019,MARKET,,480
19-10-2019,PROPERTY,CLV,480
26-10-2019,PROPERTY,FLV,240
26-10-2019,PROPERTY,CLV,420
26-10-2019,MARKET,,660
26-10-2019,ENTERPRISE,,660
01-11-2019,PROPERTY,TRW,0
01-11-2019,ENTERPRISE,,0
01-11-2019,MARKET,,0
03-11-2019,ENTERPRISE,,264
03-11-2019,PROPERTY,TRW,0
03-11-2019,MARKET,,0
03-11-2019,PROPERTY,TAH,0
03-11-2019,PROPERTY,HLT,264
03-11-2019,MARKET,,264
04-11-2019,ENTERPRISE,,329
04-11-2019,PROPERTY,HLT,329
04-11-2019,MARKET,,329
05-11-2019,MARKET,,604
05-11-2019,PROPERTY,HLT,604
05-11-2019,ENTERPRISE,,604
06-11-2019,MARKET,,86
06-11-2019,PROPERTY,HLT,86
06-11-2019,ENTERPRISE,,86
07-11-2019,MARKET,,0
07-11-2019,PROPERTY,TRW,0
07-11-2019,ENTERPRISE,,0
08-11-2019,PROPERTY,TRW,0
08-11-2019,ENTERPRISE,,0
08-11-2019,MARKET,,0
09-11-2019,ENTERPRISE,,0
09-11-2019,MARKET,,0
09-11-2019,PROPERTY,TRW,0
10-11-2019,ENTERPRISE,,0
10-11-2019,MARKET,,0
10-11-2019,PROPERTY,TRW,0
16-11-2019,MARKET,,720
16-11-2019,PROPERTY,CLV,720
16-11-2019,ENTERPRISE,,720
17-11-2019,PROPERTY,CLV,180
17-11-2019,PROPERTY,FLV,360
17-11-2019,PROPERTY,LAS,300
17-11-2019,ENTERPRISE,,840
17-11-2019,MARKET,,840
23-11-2019,MARKET,,960
23-11-2019,PROPERTY,CLV,480
23-11-2019,ENTERPRISE,,960
23-11-2019,PROPERTY,FLV,240
23-11-2019,PROPERTY,LAS,240
24-11-2019,ENTERPRISE,,720
24-11-2019,PROPERTY,CLV,300
24-11-2019,MARKET,,720
24-11-2019,PROPERTY,LAS,420
30-11-2019,MARKET,,1740
30-11-2019,PROPERTY,LAS,720
30-11-2019,PROPERTY,CLV,780
30-11-2019,PROPERTY,FLV,240
30-11-2019,ENTERPRISE,,1740
07-12-2019,MARKET,,900
07-12-2019,PROPERTY,CLV,300
07-12-2019,ENTERPRISE,,900
07-12-2019,PROPERTY,LAS,600
13-12-2019,PROPERTY,RLV,0
13-12-2019,MARKET,,0
13-12-2019,ENTERPRISE,,0
14-12-2019,PROPERTY,PLV,120
14-12-2019,PROPERTY,FLV,240
14-12-2019,ENTERPRISE,,1370
14-12-2019,PROPERTY,BLV,240
14-12-2019,PROPERTY,CLV,480
14-12-2019,MARKET,,1370
14-12-2019,PROPERTY,PHV,290
15-12-2019,MARKET,,364
15-12-2019,ENTERPRISE,,364
15-12-2019,PROPERTY,PHV,364
21-12-2019,PROPERTY,FLV,240
21-12-2019,PROPERTY,PLV,300
21-12-2019,PROPERTY,CLV,720
21-12-2019,PROPERTY,BLV,480
21-12-2019,ENTERPRISE,,2040
21-12-2019,MARKET,,2040
21-12-2019,PROPERTY,LAS,300
22-12-2019,ENTERPRISE,,0
22-12-2019,MARKET,,0
22-12-2019,PROPERTY,RLV,0
28-12-2019,ENTERPRISE,,0
28-12-2019,MARKET,,0
28-12-2019,PROPERTY,RLV,0
17-01-2020,PROPERTY,CLV,0
17-01-2020,ENTERPRISE,,0
17-01-2020,MARKET,,0
18-01-2020,MARKET,,0
18-01-2020,ENTERPRISE,,0
18-01-2020,PROPERTY,RLV,0
22-01-2020,PROPERTY,CLV,0
22-01-2020,MARKET,,0
22-01-2020,ENTERPRISE,,0
23-01-2020,PROPERTY,ILV,0
23-01-2020,MARKET,,146
23-01-2020,PROPERTY,FLV,146
23-01-2020,ENTERPRISE,,146
24-01-2020,PROPERTY,ILV,0
24-01-2020,PROPERTY,LAS,0
24-01-2020,MARKET,,155
24-01-2020,ENTERPRISE,,155
24-01-2020,PROPERTY,FLV,155
25-01-2020,ENTERPRISE,,308
25-01-2020,PROPERTY,FLV,308
25-01-2020,MARKET,,308
25-01-2020,PROPERTY,ILV,0
25-01-2020,PROPERTY,LAS,0
26-01-2020,ENTERPRISE,,0
26-01-2020,MARKET,,0
26-01-2020,PROPERTY,FLV,0
27-01-2020,ENTERPRISE,,0
27-01-2020,MARKET,,0
27-01-2020,PROPERTY,LAS,0
28-01-2020,MARKET,,0
28-01-2020,ENTERPRISE,,0
28-01-2020,PROPERTY,LAS,0
29-01-2020,MARKET,,73
29-01-2020,ENTERPRISE,,73
29-01-2020,PROPERTY,FLV,73
29-01-2020,PROPERTY,DLV,0
29-01-2020,PROPERTY,LAS,0
30-01-2020,PROPERTY,LAS,0
30-01-2020,ENTERPRISE,,0
30-01-2020,MARKET,,0
30-01-2020,PROPERTY,FLV,0
31-01-2020,ENTERPRISE,,0
31-01-2020,MARKET,,0
31-01-2020,PROPERTY,LAS,0
01-02-2020,MARKET,,60
01-02-2020,PROPERTY,RLV,60
01-02-2020,ENTERPRISE,,60
01-02-2020,PROPERTY,LAS,0
04-02-2020,PROPERTY,LAS,0
04-02-2020,ENTERPRISE,,0
04-02-2020,MARKET,,0
07-02-2020,PROPERTY,FLV,106
07-02-2020,MARKET,,106
07-02-2020,PROPERTY,LAS,0
07-02-2020,ENTERPRISE,,106
08-02-2020,PROPERTY,LAS,0
08-02-2020,MARKET,,247
08-02-2020,ENTERPRISE,,247
08-02-2020,PROPERTY,FLV,247
09-02-2020,PROPERTY,ILV,0
09-02-2020,PROPERTY,DLV,0
09-02-2020,MARKET,,0
09-02-2020,PROPERTY,LAS,0
09-02-2020,ENTERPRISE,,0
09-02-2020,PROPERTY,FLV,0
10-02-2020,PROPERTY,DLV,0
10-02-2020,PROPERTY,ILV,0
10-02-2020,MARKET,,0
10-02-2020,PROPERTY,LAS,0
10-02-2020,ENTERPRISE,,0
10-02-2020,PROPERTY,FLV,0
